Pop1	Pop2	Model	Rep	N1	N2	m21	m12	mi21	mi12	Ts	Tsc	Tam	p
Choy	Molino	SI	1	314179.195192	10126.8072432	NA	NA	NA	NA	50998.9912441	NA	NA	NA
Choy	Molino	SI	2	313139.701278	10203.2204413	NA	NA	NA	NA	51388.8865139	NA	NA	NA
Choy	Molino	SI	3	312142.273741	10256.299379	NA	NA	NA	NA	51709.0008408	NA	NA	NA
Choy	Molino	SI	4	316550.9116	10022.7323124	NA	NA	NA	NA	50503.5541278	NA	NA	NA
Choy	Molino	SI	5	313609.037153	10152.9204315	NA	NA	NA	NA	51143.3870139	NA	NA	NA
Choy	Molino	SI	6	316591.56883	10098.4667192	NA	NA	NA	NA	50888.9698649	NA	NA	NA
Choy	Molino	SI	7	314400.101272	10081.4957292	NA	NA	NA	NA	50710.3169031	NA	NA	NA
Choy	Molino	SI	8	313908.199881	10154.7469725	NA	NA	NA	NA	51174.9838814	NA	NA	NA
Choy	Molino	SI	9	314216.383176	10070.9549499	NA	NA	NA	NA	50672.2748699	NA	NA	NA
Choy	Molino	SI	10	314086.944184	10063.3084497	NA	NA	NA	NA	50707.2826714	NA	NA	NA
Choy	Molino	SI	11	314223.663493	10111.0357445	NA	NA	NA	NA	50911.0484483	NA	NA	NA
Choy	Molino	SI	12	314054.035836	10202.2797818	NA	NA	NA	NA	51380.3093101	NA	NA	NA
Choy	Molino	SI	13	313853.641952	10107.0726518	NA	NA	NA	NA	50895.8042034	NA	NA	NA
Choy	Molino	SI	14	315103.895643	9976.82651961	NA	NA	NA	NA	50179.3746887	NA	NA	NA
Choy	Molino	SI	15	312182.945844	9974.52104515	NA	NA	NA	NA	50078.871143	NA	NA	NA
Choy	Molino	SI	16	313813.546484	10158.3774587	NA	NA	NA	NA	51160.2986495	NA	NA	NA
Choy	Molino	SI	17	313626.847799	10261.8899727	NA	NA	NA	NA	51722.3084877	NA	NA	NA
Choy	Molino	SI	18	314186.427658	10021.8032043	NA	NA	NA	NA	50508.4626694	NA	NA	NA
Choy	Molino	SI	19	314059.800333	10154.9282578	NA	NA	NA	NA	51137.8696879	NA	NA	NA
Choy	Molino	SI	20	313600.019566	10269.6419888	NA	NA	NA	NA	51672.9243191	NA	NA	NA
Choy	Molino	SI	21	313732.629018	10096.4883402	NA	NA	NA	NA	50940.8903451	NA	NA	NA
Choy	Molino	SI	22	313841.440503	10130.9290405	NA	NA	NA	NA	51044.3487854	NA	NA	NA
Choy	Molino	SI	23	317850.625387	10024.7990648	NA	NA	NA	NA	50519.9974503	NA	NA	NA
Choy	Molino	SI	24	311961.553576	9990.05018014	NA	NA	NA	NA	50269.3191528	NA	NA	NA
Choy	Molino	SI	25	312914.147858	10122.7020326	NA	NA	NA	NA	50987.1913156	NA	NA	NA
Choy	Molino	SI	26	314420.845651	10061.1733274	NA	NA	NA	NA	50664.0614235	NA	NA	NA
Choy	Molino	SI	27	314135.524258	10170.8760413	NA	NA	NA	NA	51185.8966745	NA	NA	NA
Choy	Molino	SI	28	313833.783324	10208.3041478	NA	NA	NA	NA	51418.7385155	NA	NA	NA
Choy	Molino	SI	29	316086.484608	10242.3020381	NA	NA	NA	NA	51591.1743771	NA	NA	NA
Choy	Molino	SI	30	314104.730172	10146.7505063	NA	NA	NA	NA	51107.792853	NA	NA	NA
Choy	Molino	SI	31	313739.160778	10235.0302756	NA	NA	NA	NA	51552.4153932	NA	NA	NA
Choy	Molino	SI	32	313194.273362	10148.8156503	NA	NA	NA	NA	51122.7907401	NA	NA	NA
Choy	Molino	SI	33	313398.539721	10191.8114571	NA	NA	NA	NA	51375.8391165	NA	NA	NA
Choy	Molino	SI	34	314157.109173	10128.5995287	NA	NA	NA	NA	51011.9698572	NA	NA	NA
Choy	Molino	SI	35	313831.947656	10115.5117929	NA	NA	NA	NA	50938.4914147	NA	NA	NA
Choy	Molino	SI	36	312730.022812	10128.1503911	NA	NA	NA	NA	50870.0864427	NA	NA	NA
Choy	Molino	SI	37	316398.056801	9991.8685908	NA	NA	NA	NA	50433.0652877	NA	NA	NA
Choy	Molino	SI	38	318035.968776	10071.2080032	NA	NA	NA	NA	50594.6078352	NA	NA	NA
Choy	Molino	SI	39	313814.918835	10169.7787738	NA	NA	NA	NA	51255.7241592	NA	NA	NA
Choy	Molino	SI	40	313864.51506	10210.9418771	NA	NA	NA	NA	51382.0073765	NA	NA	NA
Choy	Molino	SI	41	313202.37683	10105.4770998	NA	NA	NA	NA	50959.1411216	NA	NA	NA
Choy	Molino	SI	42	319552.885567	9855.97863101	NA	NA	NA	NA	49660.3213282	NA	NA	NA
Choy	Molino	SI	43	313386.350033	10007.9044378	NA	NA	NA	NA	50353.2587446	NA	NA	NA
Choy	Molino	SI	44	314567.888113	10101.3053391	NA	NA	NA	NA	50871.6553819	NA	NA	NA
Choy	Molino	SI	45	316025.302996	10065.0741456	NA	NA	NA	NA	50782.2974072	NA	NA	NA
Choy	Molino	SI	46	314155.542239	10238.296206	NA	NA	NA	NA	51438.2391087	NA	NA	NA
Choy	Molino	SI	47	314361.595228	10076.6155009	NA	NA	NA	NA	50744.7309447	NA	NA	NA
Choy	Molino	SI	48	313031.912575	10049.3398658	NA	NA	NA	NA	50704.83993	NA	NA	NA
Choy	Molino	SI	49	313359.983729	10152.3141936	NA	NA	NA	NA	51083.9300955	NA	NA	NA
Choy	Molino	SI	50	313952.24381	10122.2267446	NA	NA	NA	NA	50976.1884654	NA	NA	NA
Choy	Molino	SC	1	274528.99079	3141.46140384	2.2737753579e-07	7.04689307233e-06	NA	NA	68716.3223106	82586.6868964	NA	NA
Choy	Molino	SC	2	313194.510942	10174.3228006	8.7660285969e-08	6.52039148224e-07	NA	NA	51330.7041985	3.62866459161e-15	NA	NA
Choy	Molino	SC	3	313378.71256	10122.7003005	1.35495799888e-06	2.63391153131e-70	NA	NA	51017.2110052	0.00530081803403	NA	NA
Choy	Molino	SC	4	277264.883564	2645.07551738	4.30215263923e-13	8.6578767169e-06	NA	NA	58.4100922462	149651.084942	NA	NA
Choy	Molino	SC	5	277381.564939	2635.07873544	5.57746199443e-18	8.69398895117e-06	NA	NA	14310.1548688	135235.471239	NA	NA
Choy	Molino	SC	6	274409.048949	3143.57607053	2.26414304299e-07	7.03747490063e-06	NA	NA	68099.3956484	83377.3070115	NA	NA
Choy	Molino	SC	7	274438.550601	3141.11378513	2.26731277671e-07	7.04418523254e-06	NA	NA	68147.5207393	83356.2022927	NA	NA
Choy	Molino	SC	8	274338.06156	3151.14441554	2.25591418407e-07	7.01916589755e-06	NA	NA	67173.9798904	84504.7732001	NA	NA
Choy	Molino	SC	9	272034.6487	3280.99142476	1.84237497437e-07	6.68544158648e-06	NA	NA	0.0742146937723	155889.333243	NA	NA
Choy	Molino	SC	10	274805.252119	3163.47936817	2.23412556442e-07	6.98977435377e-06	NA	NA	64299.0031192	87441.1016019	NA	NA
