AM	AM2M	IM	IM2M	SC	SC2M	SI
678397.934183	678360.311683	374564.052749	214184.934749	374453.410612	270271.135687	678464.541051
678365.778545	300155.890941	374564.03528	213916.386367	374357.998551	255438.848313	678379.752242
678365.882416	678381.533021	386335.614576	180350.683523	386391.926172	632267.119565	678395.759337
678465.066342	678605.230123	374564.573122	227780.750329	386335.14036	265734.557522	678421.837693
678585.970054	182307.643677	374563.855733	221671.565524	374362.238125	287144.299259	678364.731556
678410.117042	678363.542485	380047.583896	180370.203417	678373.376727	229983.58031	678377.215198
678414.754791	678383.748459	374571.158571	213710.165293	374360.83007	198928.203245	678362.263533
345451.00016	216427.190913	374563.898022	253911.30722	374363.08204	255719.520993	678379.608456
678368.198062	284214.437187	374563.99714	263183.904637	374359.53025	259076.783215	678406.768493
678362.612228	327370.216782	374564.132629	224767.445153	374359.856409	219585.981267	678360.655801
345449.576613	231961.43935	374563.759381	221663.815141	678376.432545	234934.651592	678367.570932
678395.091241	677231.528487	374564.284983	207696.469352	374568.33828	221683.245431	678360.417867
678363.953751	211668.768385	386335.127902	199148.48847	374358.386838	158869.465263	678365.193177
678362.291672	178191.787299	386335.21856	293977.965231	374357.958162	255837.329161	678511.9274
678379.802129	216526.412334	386335.035538	292149.902591	678518.307952	678393.982812	678382.01139
678363.081047	678912.482495	374563.877643	180478.518968	374442.231185	219515.722749	678362.10235
345451.000297	178193.865013	374563.687742	285242.762423	374563.888424	655638.116618	678358.260558
678394.573043	678716.579704	374564.014923	180431.024366	374564.265495	231620.231158	678367.490121
678365.949795	678542.147073	374564.488742	291151.203579	386406.705459	159661.858059	678377.00798
345450.414554	678365.988646	374563.699661	254176.676156	374361.941396	263530.724109	678361.364587
