AM	AM2M	IM	IM2M	SC	SC2M	SI
2421150.51418	1023959.59531	1091110.91856	1061606.60348	876604.766413	790639.473505	2420309.03084
1091108.63016	2420436.71043	1091089.22561	1023754.84467	876605.038213	883984.520366	2420351.39631
1091701.42588	1091098.37385	1091090.79576	1106625.1875	876604.989704	875930.013661	2420309.1013
2420362.93296	1050275.31894	1091093.32118	1091094.44323	882631.994577	833143.941532	2420302.51003
1091091.02424	2420767.30737	1091089.4535	1054440.20238	876605.022515	847197.036178	2420297.38297
1091098.0312	2420477.02688	1091111.06266	1099778.25849	882631.97136	791703.635155	2420312.65129
1091167.58132	2420351.53166	1091092.74098	1091329.63671	876605.052938	847713.39081	2420309.16502
1091100.4899	1050273.44568	1091089.4273	1023756.08002	876605.056015	935996.134215	2420297.92728
2420297.8666	1091354.83466	1091092.94213	1023743.46128	882631.901075	763890.369211	2420299.78413
1091092.08961	2420316.01808	1091121.65796	1023786.78228	876605.036761	758518.213818	2420307.86172
1091099.77767	1091937.64105	1459338.43317	1023866.03314	876604.837563	810713.222877	2420301.28681
2420300.41595	1101468.92087	1091195.92741	1023737.90345	876604.953682	827069.348546	2420343.31511
2420346.53477	2420302.76649	1091091.06027	1061010.64587	876605.056411	765003.510702	2420362.3888
1091090.92591	2419928.83397	1091089.13965	1023742.89024	876605.056467	790683.661165	2420302.51008
1461913.76971	2420520.42839	1091090.02612	1050281.57609	882632.262233	763233.685672	2420334.70685
2420480.28202	1106782.3758	1091090.04244	1040345.35755	876605.056459	809814.092292	2420297.01638
1091101.82595	1064269.28665	1091093.25839	1053611.27584	1091094.51965	1086004.25123	2420317.44763
2420307.81954	2420464.44821	1091093.6299	1023749.47776	882631.986899	880338.999764	2420327.24835
2420298.62837	1102419.15308	1091179.87076	1055436.48971	876605.056155	904646.933229	2420296.92516
1091092.04904	2420302.82871	1458315.53337	1091199.06423	876605.988418	884892.713952	2420325.07931
