AM	AM2M	IM	IM2M	SC	SC2M	SI
953670.308297	1148101.87258	944850.831201	754538.64478	931215.366411	729628.636199	1148102.81168
944834.17778	653901.724169	946305.527856	754340.151027	930832.631086	720413.777714	1148103.54453
944834.075134	1148110.15445	944857.017238	754360.315341	930471.216177	728604.093005	1148100.78636
944833.36601	1154045.50296	953455.464712	754336.623614	941086.398998	750709.66834	1148100.88518
1148093.98925	1148847.89981	945526.369533	708419.273145	930456.353688	714828.621316	1148092.20929
1148100.75358	1148137.97054	944849.770573	735773.043178	1148100.74681	713966.973527	1148101.80046
1148132.67342	648343.192255	944844.824727	764254.825553	930598.15985	751228.585215	1148098.89399
1148101.05057	754338.058305	944858.162768	742544.632051	930454.515667	748370.871294	1148100.6806
1148101.57039	779622.016237	953765.449934	762670.821071	930501.041219	700579.641675	1148101.23558
1148103.02647	1148156.14344	944904.158031	728745.071022	930490.73287	714165.823971	1148134.59043
944835.949183	754330.076418	944845.49068	765961.050317	930500.207856	754339.932697	1148103.42908
944862.662887	1148103.47214	2054337.9741	754338.304102	930491.142352	728498.16761	1148099.14011
944830.45867	737831.836149	944859.322752	754339.737093	930464.387829	737519.720967	1148112.85798
1148232.72977	1148151.67979	953430.393254	751466.931941	948181.267593	754310.477964	1148102.18997
944834.649908	765147.174486	953482.643492	1762447.21265	930497.601206	764611.856765	1148102.28432
1148110.86718	1148105.00444	944916.11023	766091.995449	930518.934204	728567.331089	1148103.5428
944833.182781	1148105.31363	1075906.3889	766036.244337	930473.193522	728505.097996	1148178.81977
1148103.16611	754337.767675	2053867.32009	754377.567365	930632.481608	715967.827954	1148102.40641
1148142.29085	754338.016615	944839.623355	700834.147607	932150.808994	744369.028756	1148130.54273
944937.547374	1148106.78	945032.035864	741208.874336	930462.398722	728503.704959	1148135.02208
