AM	AM2M	IM	IM2M	SC	SC2M	SI
1730564.73715	777372.054257	1470837.03653	634526.716759	709775.994404	601211.059049	1730402.56336
1730395.29377	771738.118096	771632.552732	634735.003863	709896.340021	468625.011538	1730397.00734
771603.939792	635304.413809	1730755.94058	634886.243858	707465.064841	712593.509177	1730392.60502
1730395.28481	775832.758172	771600.490165	634554.925076	707444.515887	598243.065663	1730421.81148
771616.267329	1730396.61769	771836.911145	634745.826633	709850.006083	578602.060839	1730392.5368
771635.082858	635290.022522	771792.707298	757897.944099	707613.363218	709727.29389	1730433.84639
1730416.24069	1730536.91998	771600.150798	698512.798721	707486.141301	776193.707362	1730395.46203
1730394.29269	634819.429996	772714.321074	783570.712696	707535.142061	1730393.75922	1730392.50454
771589.180659	1730524.93552	771690.560127	777596.896409	709797.26403	604147.461276	1730397.84528
771583.458837	765851.795069	771657.892918	697585.132701	707460.701821	711269.205669	1730421.71117
1730393.98887	1730400.03809	771591.724778	635134.958267	707509.028287	529391.507009	1730396.83946
771589.826266	1730396.41703	771705.495482	636055.954018	709766.045287	634657.930948	1730398.57812
771634.194805	634779.766499	771938.976878	635339.582543	1313601.01757	462998.210773	1730398.38045
771618.566375	748682.86814	771631.650219	783285.661645	707704.425042	712256.500265	1730392.18563
773119.587959	634704.828294	771771.901401	698497.367308	710751.153768	598514.104157	1730398.50719
771680.314778	772419.224701	771658.892719	776238.554576	707450.886994	461922.372905	1730398.37147
1730391.78116	1730730.31976	771660.726458	635325.29096	709778.952811	686938.914999	1730398.68156
1730398.66287	1730397.20809	771744.606982	634787.737382	709803.547819	1417077.03233	1730773.78516
1603700.84605	1730421.39854	771633.245814	810125.211199	707446.578547	540662.090642	1730398.57983
1730403.5282	634976.317807	772327.992656	634591.685298	772522.157779	463201.095434	1730392.76506
