AM	AM2M	IM	IM2M	SC	SC2M	SI
1092728.78313	647891.288712	1100156.99588	638808.850516	1184560.53488	558313.589476	1624202.08792
1624195.28716	1624190.25277	1096458.20511	785710.463642	1084512.82409	687285.264373	1624197.87827
1443391.98647	648266.816085	1096459.49657	635923.540772	1097547.42586	639636.326575	1624234.90046
1443777.58641	1624212.58964	1478468.02346	632991.180427	1100741.97362	556557.90561	1624223.71607
1093237.07128	1174819.53279	1096595.52037	641649.874686	1094964.44622	1173313.30465	1624261.95088
1093175.24934	1624212.47978	1099475.4037	1099886.80942	1226008.46849	682038.743749	1626080.49244
1624061.99155	805247.093797	1096448.17745	786323.97806	1095314.29726	634692.343846	1624377.23431
1313212.06508	1622470.50068	1313247.17245	639699.921985	1184548.26456	688173.762453	1624207.69121
1623462.20575	713446.675323	1478251.73955	634128.267157	1085414.22121	556621.381166	1624294.4571
1624198.84616	1624198.22255	1096648.10818	677395.962124	1084571.59956	786933.027176	1624204.70852
1622586.2178	1623995.06542	1096788.91115	1033131.12783	1084641.10264	634944.603844	1624296.27294
1096728.30849	1623756.96263	1098325.69426	786313.641471	1100384.8494	1624193.39593	1624200.90512
1624037.27709	652201.479239	1100206.44821	1025043.65878	1084695.2542	635227.014266	1624191.41199
1092666.70195	1624238.0309	1096432.49499	646895.189828	1097283.65418	556522.455966	1624368.72593
1624192.7728	1624204.46611	1096509.53841	632254.493846	1095407.78291	737018.586752	1624217.52845
1624058.25208	1624268.71937	1096621.16456	702820.634997	1478640.47642	1624192.93308	1624195.57659
1624190.50007	808161.570706	1478090.02286	711876.076034	1095221.28303	810886.428506	1624279.84469
1313254.50058	657623.132319	1478112.08877	795646.061378	1084645.12915	1180037.95794	1624193.76574
1096606.44622	1129030.20427	1099005.25923	1100182.02783	1225677.47473	1213626.68277	1624200.62956
1624350.44227	1624218.56691	1099852.19632	1094276.19385	1100532.71165	634929.924187	1624191.99797
