AM	AM2M	IM	IM2M	SC	SC2M	SI
1429027.51334	465889.949517	687138.21389	307654.405584	911417.617405	447653.492522	1428747.87765
1428450.20109	525834.686193	687570.659864	309846.517844	658292.306977	302086.828518	1428293.32754
672537.18701	525789.369221	687056.868721	305907.33676	742855.083536	447966.937734	1428459.88438
673751.692955	1428513.13271	1434210.82599	547095.414533	657488.785293	446937.641982	1428329.99745
672653.439637	1428480.739	687252.5377	302488.115296	657337.360517	489110.324355	1428442.74878
672106.912412	330025.712379	687170.89666	526503.61453	657460.238094	512032.297511	1428402.60751
671955.237764	1428368.30393	687086.59806	510580.570447	657388.50143	306868.871347	1428441.91988
1428372.47837	1428314.14222	687097.683798	356865.78854	657390.739476	303626.28146	1428381.68996
1428347.37945	1428295.61725	687095.586281	423686.877497	657227.712751	489302.419383	1428956.8668
1428340.50648	325521.706336	687213.364728	302698.864831	657290.864621	499454.350062	1428496.10174
672157.747298	368668.755605	687045.865782	465716.175331	1428475.60086	449265.994691	1428404.06303
675544.485994	465552.50965	687098.174611	465768.192912	1428439.85556	447054.62246	1428306.11098
675209.249803	1428527.06831	911046.554989	314433.891235	657257.665653	499670.109267	1428312.92971
672639.347082	525789.357664	687259.716839	466217.100442	657327.041947	267795.767662	1428482.226
1428492.71744	1428464.89584	687042.158578	305871.759769	660991.719775	326855.756173	1428306.72081
672540.516487	465656.144607	687227.217535	377966.118991	657241.979264	1428325.19274	1428352.1223
1428611.836	511236.488787	687093.432346	352718.842337	1428402.51401	498800.001259	1428358.6673
1428289.17708	1428421.58015	688040.801462	396956.810418	657276.201017	448040.355161	1428347.65639
671986.243255	1428355.66865	687169.776471	299887.402483	657260.082899	273795.289396	1428397.69157
672223.844412	368068.312003	687114.850182	299087.099127	676981.394325	285511.28015	1428326.11887
