AM	AM2M	IM	IM2M	SC	SC2M	SI
1427996.92642	1427941.54917	1002799.07088	808516.055148	978839.781726	788749.971336	1427974.28874
983622.805396	698098.492034	1000476.09	664113.415992	1000652.11173	514156.370461	1428001.14494
1096444.66664	1427962.77183	1000588.80563	540614.486872	979116.770201	512270.15133	1428208.24235
983662.947264	536653.322905	1000488.87125	675810.239521	978857.714879	558963.054846	1428029.60367
983584.254507	697961.03753	1001630.6201	874481.420775	979239.221616	770262.713065	1427955.06132
1427966.49349	683387.224618	1002365.93298	592197.257321	1004356.20141	1435138.06246	1427940.26392
1427945.23414	600271.537032	1000525.42171	603074.054712	1000493.56953	431542.709969	1427957.35547
989457.429636	1427956.49888	1000854.16126	529206.422446	978890.514072	514683.621443	1427939.53984
1174160.12931	598501.399794	1002436.47259	591374.003586	979095.621658	431563.321462	1428510.0248
1428220.07576	678156.826649	1000454.10619	1340259.90099	1000608.53822	554295.351531	1427970.08698
983560.256499	594765.798562	1201041.11786	596128.408925	979499.257406	576287.546389	1427942.41701
983576.895368	1427946.28356	1000450.97428	540661.99737	978874.389357	1427956.56613	1427977.13515
1427988.24323	1428147.86088	1002737.83884	816011.933261	1000488.89538	620015.545543	1427939.83391
1427943.14505	1427693.45578	1002834.36791	686568.868897	1199283.544	563557.878042	1427990.50276
983652.50829	1427940.35524	1002441.50494	529629.792601	1427961.65789	618593.624605	1427994.37024
1427964.26118	700373.228762	1002345.37737	530863.404371	1427940.2191	431560.742603	1427987.80905
1427960.4209	602341.228646	1002420.6755	530689.917102	1001277.76721	1427974.04789	1428230.41122
983690.484699	1427963.34618	1002377.0958	544729.311256	979147.377268	514079.453692	1427941.88719
1427937.49884	536444.719946	1000624.63842	591083.635199	1200418.55816	919308.289758	1428111.90517
1174164.42508	1427946.43213	1281183.10174	529434.084988	1000031.89477	437054.578147	1428036.81606
