AM	AM2M	IM	IM2M	SC	SC2M	SI
1544118.01114	1544210.05605	1547376.38414	782770.705259	1087147.36219	1078268.65224	1544163.83664
1087153.42224	1544388.31104	1544301.36332	781789.586604	1075518.88777	1082065.93882	1544114.31875
1544134.89525	798824.63113	1589054.56015	781197.400057	1075529.46042	900281.235718	1544106.34884
1086996.36355	1544174.86785	1087227.50352	786919.455878	1075587.22129	1023328.59629	1544224.6315
1476236.93993	1544627.60644	1087236.01295	791816.390408	1075881.31936	1083447.7065	1544109.01876
1087030.58953	1544746.74162	1087887.34409	783245.079941	1086998.67383	900623.588334	1544131.30321
1087211.51125	799262.405054	1087723.67611	783686.999368	1075804.7723	903850.492562	1544134.67245
1544124.06874	1545496.06718	1087811.4071	800745.570526	1075804.32251	905176.895791	1544122.90093
1544131.75192	1544148.14227	1086985.40443	781321.818717	1087532.13219	904176.208285	1544111.64093
1544224.83474	987880.870841	1087006.02119	786308.171193	1080020.14845	735447.250464	1544179.61791
1087008.77984	836201.877138	1087150.49175	782549.053442	1087049.239	733126.472477	1544146.12329
1087103.73199	945532.435083	1588876.37213	805606.24856	1075583.67888	901417.362177	1544243.82721
1544106.52747	1544138.51617	1544405.93253	988109.441401	1075682.67606	1081813.55523	1544157.46479
1087029.12003	1544476.25279	1590465.93821	989952.115464	1076153.87323	909378.311316	1544143.46316
1544119.12231	1544112.1658	1087905.01275	783567.208923	1076454.91779	730649.162275	1544159.18632
1086963.19424	807660.499936	1087064.43528	1087768.09854	1075407.46689	1074510.72465	1544134.25487
1087012.25103	1544112.24258	1087578.6273	784285.365798	1076168.02439	1229762.19368	1544124.87339
1087319.48692	1543227.5436	1086988.86134	782296.891651	1075540.83147	1081094.50084	1544119.33813
1544043.57937	944117.760515	1088800.74804	789049.111544	1079412.95788	1075981.73857	1544115.17272
1087091.22163	944342.645132	1588972.98464	1086931.55425	1075440.0066	1051209.36558	1544352.39834
