AM	AM2M	IM	IM2M	SC	SC2M	SI
1597372.39579	1597388.20406	1211783.31089	782125.022676	1142198.32989	659882.293476	1597371.5481
1597365.07682	1597374.65283	1211787.48854	836459.751732	1142199.94892	625985.54404	1597372.48225
1597341.19068	1587013.73202	1211977.21824	778471.252916	1142201.34817	734813.900612	1597371.6609
1211844.24872	786229.268693	1330545.01591	782125.3166	1142203.76772	741736.59123	1597553.15089
1212235.50604	782140.783633	1211782.18732	813876.73851	1142202.80262	551054.206988	1597371.61048
1597364.48873	778443.9803	1279409.77143	778443.915627	1142201.63202	555852.137604	1597361.55145
1211780.25806	778516.156254	1211773.89363	778446.93942	1142201.44428	782138.202189	1597373.66421
1211789.5976	969535.505292	1211818.46823	778458.565076	1142216.29018	630004.758424	1597367.34277
1597420.28339	889952.903272	1294267.8093	870909.218565	1330761.01767	553686.662572	1597365.98951
1565252.09168	1597307.95087	1211778.35345	980421.380307	1142206.70874	573436.655838	1597371.05402
1597676.66525	782522.923448	1211808.34097	872448.58762	1142205.10442	837912.936981	1597366.25785
1330761.38218	1597377.02257	1211777.29281	782120.508463	1142198.73592	864256.498094	1597368.50858
1597365.48802	1597324.52433	1211775.56389	786241.57418	1142202.24141	689182.386656	1597369.94576
1211776.9858	778472.933022	1211782.67551	782124.895125	1297355.38389	550837.72959	1597365.25024
1597369.16825	950773.7288	1211779.89845	818380.529328	1211791.25705	558696.895009	1597362.17208
1374569.45038	778604.207982	1211775.51713	778580.697641	1142203.43032	575546.67362	1597365.8584
1597365.33632	889927.740565	1211774.35086	814289.896162	1142202.37312	734704.941726	1597368.29187
1597370.28292	889257.747881	1211781.85511	778455.1496	1344538.58219	719399.139081	1597396.52004
1374598.89511	838216.808942	1211784.28886	778450.823413	1142210.31201	558659.076796	1597373.73609
1597371.31058	782130.918223	1211786.70268	778445.620451	1142199.65364	748305.976521	1597372.81513
